Floor,Room_No.,Room_Name,Room_Type_No.,Room_Type_Name,Area_m2,Volume_m3,Specific_Cooling_Demand_per_m2_W_per_m2,Specific_Cooling_Demand_per_Person_W_per_Pers,Additional_Internal_Loads_W,Total_Cooling_Load_kW,Cooling_Type,Cooling_Capacity_W,Cooling_Count,Total_Cooling_kW,Specific_Heating_Demand_per_m2_W_per_m2,Total_Heating_Load_kW,Heating_Type,Heating_Capacity_W,Heating_Count,Total_Heating_kW
OG2_OKRFB,D2 15,Wiss. Mitarbeiter,2.0,Einzel-/Zweierbüros,8000.0,25040.0,50.0,0.0,0.0,0.0,400,1.0,40.0,0.0,40.0,32.0,H-K-Segel,320.0,1.0,32.0
OG2_OKRFB,D2 16,Wiss. Mitarbeiter,2.0,Einzel-/Zweierbüros,8000.0,24730.0,50.0,0.0,0.0,0.0,400,1.0,40.0,0.0,40.0,32.0,H-K-Segel,320.0,1.0,32.0
OG2_OKRFB,D2 17,Wiss. Mitarbeiter,2.0,Einzel-/Zweierbüros,8000.0,25040.0,50.0,0.0,0.0,0.0,400,1.0,40.0,0.0,40.0,32.0,H-K-Segel,320.0,1.0,32.0
OG2_OKRFB,D2 18,Wiss. Mitarbeiter,2.0,Einzel-/Zweierbüros,8000.0,24730.0,50.0,0.0,0.0,0.0,400,1.0,40.0,0.0,40.0,32.0,H-K-Segel,320.0,1.0,32.0
OG2_OKRFB,D2 19,Doktorand,2.0,Einzel-/Zweierbüros,17000.0,51870.0,50.0,0.0,0.0,0.0,850,1.0,85.0,0.0,40.0,68.0,H-K-Segel,680.0,1.0,68.0
OG2_OKRFB,D2 21,Allg. & Gruppenleitung,2.0,Einzel-/Zweierbüros,17000.0,51220.0,50.0,0.0,0.0,0.0,850,1.0,85.0,0.0,40.0,68.0,H-K-Segel,680.0,1.0,68.0
OG2_OKRFB,D2 23,Wiss. Mitarbeiter,2.0,Einzel-/Zweierbüros,8000.0,25040.0,50.0,0.0,0.0,0.0,400,1.0,40.0,0.0,40.0,32.0,H-K-Segel,320.0,1.0,32.0
OG2_OKRFB,D2 24,Wiss. Mitarbeiter,2.0,Einzel-/Zweierbüros,8000.0,24450.0,50.0,0.0,0.0,0.0,400,1.0,40.0,0.0,40.0,32.0,H-K-Segel,320.0,1.0,32.0
OG2_OKRFB,D2 25,Installationsschacht,18.0,Schächte,8000.0,23250.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
OG2_OKRFB,D2 26,Etagenverteiler,13.0,Etagenverteiler,8000.0,23250.0,0.0,0.0,3.5,0.0,"3,500",1.0,350.0,0.0,0.0,0.0,,0.0,0.0,0.0
OG2_OKRFB,Mo2 01,Flur,17.0,Treppenhäuser/Magistrale,57000.0,170710.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,25.0,143.0,HK,1.43,1.0,143.0
OG2_OKRFB,Mo2 02,Lager,11.0,Lager innenliegend,10000.0,28520.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
OG2_OKRFB,MO2 03,Aufzug,19.0,Aufzüge,9000.0,26170.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
OG2_OKRFB,Mo2 04,WC Damen,8.0,WCs,3000.0,10050.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,30.0,9.0,HK,90.0,1.0,9.0
OG2_OKRFB,Mo2 05,Putzraum,10.0,Putzmittel/ Lager,2000.0,4750.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,15.0,3.0,,0.0,0.0,0.0
OG2_OKRFB,Mo2 06,WC Herren,8.0,WCs,2000.0,5300.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,30.0,6.0,HK,0.0,0.0,0.0
OG2_OKRFB,Mo2 06.1,WC Herren,8.0,WCs,3000.0,9580.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,30.0,9.0,HK,150.0,1.0,15.0
OG2_OKRFB,Mw2 01/02,Treppe/Flur,17.0,Treppenhäuser/Magistrale,41000.0,122900.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,25.0,103.0,HK,1.03,1.0,103.0
OG2_OKRFB,Mw2 03,Installationsschacht,18.0,Schächte,3000.0,9280.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
OG2_OKRFB,Mw2 04,ELT,14.0,ELT-Schacht,3000.0,8750.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
OG3_OKRFB,D3 02,Co-Working,1.0,Flex-/ Co-Work/,49000.0,146130.0,50.0,0.0,0.0,0.0,"2,450",1.0,245.0,0.0,40.0,196.0,H-K-Segel,1.96,1.0,196.0
